,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
122,4.2.1.2),Иншоот,,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4.2.1.2.1),Умумий фойдаланишдаги автомобиль йўллари,,12.0,100.0,,,,,,,,,,,,,,0
124,4.2.1.2.2),Лойиҳалаштириш ва қидирув ишлари ҳаражатлари ,,12.0,110.0,,,,,,,,,,,,,,0
125,4.2.1.2.3),Бошқа иншоотлар ,,12.0,900.0,,,,,,,,,,,,,,0
126,4.2.1.3),Асосий воситаларни лойиҳалаштириш бўйича бошқа ҳаражатлар ,,19.0,0.0,,,,,,,,,,,,,,0
127,4.2.2),Асосий воситаларни қуриш ва реконструкция қилиш,43.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4.2.2.1),Бино,,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4.2.2.1.1),Тураржой бинолари,,21.0,100.0,,,,,,,,,,,,,,0
130,4.2.2.1.2),Нотурар жой бинолари,,21.0,200.0,,,,,,,,,,,,,,0
131,4.2.2.2),Иншоот,,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4.2.2.2.1),Умумий фойдаланишдаги автомобиль йўллари,,22.0,100.0,,,,,,,,,,,,,,0
133,4.2.2.2.1),Бошқа иншоотлар,,22.0,900.0,,,,,,,,,,,,,,0
134,4.2.2.3),Асосий воситаларни қуриш ва реконстукция қилиш билан боғлиқ бошқа харажатлар ,,29.0,0.0,,,,,,,,,,,,,,0
135,4.2.3),Асосий воситаларни капитал таъмирлаш,43.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
